date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:43:14	764/764	---MCZ	200	added ('OK')	text/plain	etag:W/%225cf4d98b-88d%22	https://evolution-rgaa.numerique.gouv.fr/robots.txt		(from )
20:43:15	82014/82014	---MCZ	200	added ('OK')	text/html	etag:%221573328594-1%22	https://evolution-rgaa.numerique.gouv.fr/	/Users/jpg/websites/evolution-rgaa.numerique.gouv.fr/evolution-rgaa.numerique.gouv.fr/index.html	(from )
20:44:35	11407/11407	---M--	200	added ('OK')	image/png	etag:%225cf4d98b-2c8f%22	https://evolution-rgaa.numerique.gouv.fr/apple-touch-icon.png	/Users/jpg/websites/evolution-rgaa.numerique.gouv.fr/evolution-rgaa.numerique.gouv.fr/apple-touch-icon.png	(from https://evolution-rgaa.numerique.gouv.fr/)
20:44:36	4008/4008	---M--	200	added ('OK')	image/png	etag:%225cf4d98b-fa8%22	https://evolution-rgaa.numerique.gouv.fr/favicon-32x32.png	/Users/jpg/websites/evolution-rgaa.numerique.gouv.fr/evolution-rgaa.numerique.gouv.fr/favicon-32x32.png	(from https://evolution-rgaa.numerique.gouv.fr/)
20:44:37	3600/3600	---M--	200	added ('OK')	image/png	etag:%225cf4d98b-e10%22	https://evolution-rgaa.numerique.gouv.fr/favicon-16x16.png	/Users/jpg/websites/evolution-rgaa.numerique.gouv.fr/evolution-rgaa.numerique.gouv.fr/favicon-16x16.png	(from https://evolution-rgaa.numerique.gouv.fr/)
20:44:38	358/358	---M--	200	added ('OK')	application/json	etag:%225cf4d98b-166%22	https://evolution-rgaa.numerique.gouv.fr/manifest.json	/Users/jpg/websites/evolution-rgaa.numerique.gouv.fr/evolution-rgaa.numerique.gouv.fr/manifest.json	(from https://evolution-rgaa.numerique.gouv.fr/)
20:44:39	1515/1515	---M--	200	added ('OK')	image/svg+xml	etag:%225cf4d98b-5eb%22	https://evolution-rgaa.numerique.gouv.fr/safari-pinned-tab.svg	/Users/jpg/websites/evolution-rgaa.numerique.gouv.fr/evolution-rgaa.numerique.gouv.fr/safari-pinned-tab.svg	(from https://evolution-rgaa.numerique.gouv.fr/)
20:44:41	3008/3008	---MCZ	200	added ('OK')	text/css	etag:W/%225cf4dd7c-bc0%22	https://evolution-rgaa.numerique.gouv.fr/sites/default/files/css/css_lQaZfjVpwP_oGNqdtWCSpJT1EMqXdMiU84ekLLxQnc4.css	/Users/jpg/websites/evolution-rgaa.numerique.gouv.fr/evolution-rgaa.numerique.gouv.fr/sites/default/files/css/css_lQaZfjVpwP_oGNqdtWCSpJT1EMqXdMiU84ekLLxQnc4.css	(from https://evolution-rgaa.numerique.gouv.fr/)
20:44:42	16135/16135	---MCZ	200	added ('OK')	text/css	etag:W/%225cf4dd7c-3f07%22	https://evolution-rgaa.numerique.gouv.fr/sites/default/files/css/css_9ww0SpkDDxKUaNRaLlcx_uHxFfmv8rxEG_Pr4NUHTQc.css	/Users/jpg/websites/evolution-rgaa.numerique.gouv.fr/evolution-rgaa.numerique.gouv.fr/sites/default/files/css/css_9ww0SpkDDxKUaNRaLlcx_uHxFfmv8rxEG_Pr4NUHTQc.css	(from https://evolution-rgaa.numerique.gouv.fr/)
20:44:43	10814/10814	---MCZ	200	added ('OK')	text/css	etag:W/%225cf4dd7c-2a3e%22	https://evolution-rgaa.numerique.gouv.fr/sites/default/files/css/css_jSHGlKptBSQ0ly_dBepzfQlS0cS8BcW0NXkXbMvcuBA.css	/Users/jpg/websites/evolution-rgaa.numerique.gouv.fr/evolution-rgaa.numerique.gouv.fr/sites/default/files/css/css_jSHGlKptBSQ0ly_dBepzfQlS0cS8BcW0NXkXbMvcuBA.css	(from https://evolution-rgaa.numerique.gouv.fr/)
